
2025/02/08 (16:15:42) | ===> btop++ v.1.4.0
2025/02/08 (16:15:42) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/02/08 (19:41:12) | ===> btop++ v.1.4.0
2025/02/08 (19:41:12) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/02/08 (19:41:22) | ===> btop++ v.1.4.0
2025/02/08 (19:41:22) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/08 (19:41:22) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/08 (19:41:24) | WARNING: Failed to join _runner thread on exit!

2025/02/08 (19:41:28) | ===> btop++ v.1.4.0
2025/02/08 (19:41:28) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/02/08 (19:42:05) | ===> btop++ v.1.4.0
2025/02/08 (19:42:05) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/08 (19:42:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/08 (19:42:08) | WARNING: Failed to join _runner thread on exit!

2025/02/08 (22:25:15) | ===> btop++ v.1.4.0
2025/02/08 (22:25:15) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/02/08 (22:25:20) | ===> btop++ v.1.4.0
2025/02/08 (22:25:20) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/02/08 (22:25:27) | ===> btop++ v.1.4.0
2025/02/08 (22:25:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/02/08 (22:25:27) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/08 (22:25:28) | WARNING: Failed to join _runner thread on exit!

2025/02/08 (22:29:58) | ===> btop++ v.1.4.0
2025/02/08 (22:29:58) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/08 (22:29:59) | WARNING: Failed to join _runner thread on exit!

2025/02/09 (10:44:40) | ===> btop++ v.1.4.0
2025/02/09 (10:44:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/09 (10:44:41) | WARNING: Failed to join _runner thread on exit!

2025/02/09 (10:44:47) | ===> btop++ v.1.4.0
2025/02/09 (10:44:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/09 (10:46:13) | WARNING: Failed to join _runner thread on exit!

2025/02/09 (11:43:03) | ===> btop++ v.1.4.0
2025/02/09 (11:43:03) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/09 (11:43:04) | WARNING: Failed to join _runner thread on exit!

2025/02/09 (13:09:07) | ===> btop++ v.1.4.0
2025/02/09 (13:09:07) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/09 (13:23:49) | WARNING: Failed to join _runner thread on exit!

2025/02/09 (21:53:27) | ===> btop++ v.1.4.0
2025/02/09 (21:53:27) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/09 (21:53:33) | WARNING: Failed to join _runner thread on exit!

2025/02/09 (21:53:34) | ===> btop++ v.1.4.0
2025/02/09 (21:53:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (21:56:00) | ===> btop++ v.1.4.0
2025/02/09 (21:56:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (21:56:26) | ===> btop++ v.1.4.0
2025/02/09 (21:56:26) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/09 (23:13:47) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (16:04:08) | ===> btop++ v.1.4.0
2025/02/12 (16:04:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (16:09:06) | ===> btop++ v.1.4.0
2025/02/12 (16:09:06) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/12 (16:09:09) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (16:26:35) | ===> btop++ v.1.4.0
2025/02/12 (16:26:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/12 (16:29:56) | WARNING: Failed to join _runner thread on exit!

2025/02/13 (19:31:45) | ===> btop++ v.1.4.0
2025/02/13 (19:31:45) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/13 (21:33:20) | WARNING: Failed to join _runner thread on exit!

2025/02/14 (17:25:00) | ===> btop++ v.1.4.0
2025/02/14 (17:25:00) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/14 (17:46:25) | WARNING: Failed to join _runner thread on exit!

2025/02/16 (16:15:38) | ===> btop++ v.1.4.0
2025/02/16 (16:15:38) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/16 (16:21:40) | WARNING: Failed to join _runner thread on exit!

2025/02/17 (10:29:13) | ===> btop++ v.1.4.0
2025/02/17 (10:29:13) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/17 (10:45:14) | WARNING: Failed to join _runner thread on exit!

2025/02/17 (10:45:18) | ===> btop++ v.1.4.0
2025/02/17 (10:45:18) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/17 (10:45:24) | WARNING: Failed to join _runner thread on exit!

2025/02/17 (10:52:45) | ===> btop++ v.1.4.0
2025/02/17 (10:52:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (09:33:34) | ===> btop++ v.1.4.0
2025/02/19 (09:33:34) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2025/02/19 (09:33:40) | ===> btop++ v.1.4.0
2025/02/19 (09:33:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (09:33:43) | WARNING: Failed to join _runner thread on exit!

2025/02/19 (09:33:47) | ===> btop++ v.1.4.0
2025/02/19 (09:33:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (09:34:03) | WARNING: Failed to join _runner thread on exit!

2025/02/21 (22:50:02) | ===> btop++ v.1.4.0
